,datetime,totalkWh,totalcustomers
551,2013-01-01,"243,356",307
552,2013-10-01,"155,096",310
553,2013-11-01,"166,309",306
554,2013-12-01,"251,764",302
555,2013-02-01,"181,203",307
556,2013-03-01,"154,701",303
557,2013-04-01,"148,667",305
558,2013-05-01,"183,036",306
559,2013-06-01,"244,316",304
560,2013-07-01,"313,489",305
561,2013-08-01,"265,497",303
562,2013-09-01,"215,810",305
563,2014-01-01,"203,345",302
564,2014-10-01,"159,041",310
565,2014-11-01,"156,099",310
566,2014-12-01,"196,543",310
567,2014-02-01,"157,547",299
568,2014-03-01,"146,948",303
569,2014-04-01,"144,608",304
570,2014-05-01,"183,048",305
571,2014-06-01,"242,489",308
572,2014-07-01,"305,472",302
573,2014-08-01,"273,349",308
574,2014-09-01,"225,469",305
575,2015-01-01,"212,381",307
576,2015-10-01,"170,462",311
577,2015-11-01,"186,372",307
578,2015-12-01,"238,596",309
579,2015-02-01,"141,476",306
580,2015-03-01,"145,534",302
581,2015-04-01,"138,789",305
582,2015-05-01,"164,610",306
583,2015-06-01,"260,069",303
584,2015-07-01,"291,597",307
585,2015-08-01,"276,843",310
586,2015-09-01,"220,582",310
587,2016-01-01,"205,131",310
588,2016-10-01,"143,238",310
589,2016-11-01,"151,403",311
590,2016-12-01,"220,467",313
591,2016-02-01,"153,678",310
592,2016-03-01,"134,807",305
593,2016-04-01,"132,354",312
594,2016-05-01,"173,393",315
595,2016-06-01,"247,695",312
596,2016-07-01,"289,419",311
597,2016-08-01,"270,851",308
598,2016-09-01,"199,329",309
599,2017-01-01,"211,568",311
600,2017-10-01,"135,425",299
601,2017-11-01,"141,149",306
602,2017-12-01,"224,908",310
603,2017-02-01,"159,198",310
604,2017-03-01,"145,162",308
605,2017-04-01,"126,413",305
606,2017-05-01,"179,047",306
607,2017-06-01,"265,718",307
608,2017-07-01,"322,380",303
609,2017-08-01,"303,485",302
610,2017-09-01,"215,400",303
611,2018-01-01,"192,031",308
612,2018-10-01,"134,745",309
613,2018-11-01,"224,838",310
614,2018-12-01,"206,124",310
615,2018-02-01,"162,549",308
616,2018-03-01,"154,398",310
617,2018-04-01,"132,951",311
618,2018-05-01,"157,233",313
619,2018-06-01,"225,078",310
620,2018-07-01,"320,653",308
621,2018-08-01,"273,048",310
622,2018-09-01,"201,794",309
623,2019-01-01,"197,804",313
624,2019-10-01,"139,461",310
625,2019-11-01,"158,688",311
626,2019-12-01,"205,290",312
627,2019-02-01,"180,223",312
628,2019-03-01,"147,206",310
629,2019-04-01,"136,006",314
630,2019-05-01,"143,313",317
631,2019-06-01,"245,170",317
632,2019-07-01,"298,294",315
633,2019-08-01,"299,014",315
634,2019-09-01,"207,357",309
635,2020-01-01,"215,187",309
636,2020-10-01,"194,416",311
637,2020-11-01,"193,853",312
638,2020-12-01,"259,510",312
639,2020-02-01,"164,998",313
640,2020-03-01,"148,116",313
641,2020-04-01,"146,081",308
642,2020-05-01,"193,912",310
643,2020-06-01,"253,633",310
644,2020-07-01,"324,531",312
645,2020-08-01,"342,917",312
646,2020-09-01,"259,392",311
647,2021-01-01,"238,421",312
648,2021-10-01,"169,421",314
649,2021-11-01,"182,373",313
650,2021-12-01,"271,993",312
651,2021-02-01,"179,203",313
652,2021-03-01,"176,705",315
653,2021-04-01,"159,616",314
654,2021-05-01,"218,073",314
655,2021-06-01,"311,611",314
656,2021-07-01,"390,705",314
657,2021-08-01,"342,974",313
658,2021-09-01,"266,662",315
659,2022-01-01,"261,502",312
660,2022-10-01,"198,779",313
661,2022-11-01,"221,420",310
662,2022-12-01,"290,583",310
663,2022-02-01,"201,673",313
664,2022-03-01,"179,761",313
665,2022-04-01,"157,836",312
666,2022-05-01,"203,346",313
667,2022-06-01,"286,765",312
668,2022-07-01,"368,276",311
669,2022-08-01,"373,108",309
670,2022-09-01,"294,455",311
