,datetime,totalkWh,totalcustomers,electricity_price,weekdays,weekends,season
0,2013-01-01,"243,356",307,$0.17 ,23,8,Winter
1,2013-10-01,"155,096",310,$0.17 ,23,8,Fall
2,2013-11-01,"166,309",306,$0.17 ,21,9,Fall
3,2013-12-01,"251,764",302,$0.17 ,22,9,Winter
4,2013-02-01,"181,203",307,$0.17 ,20,8,Winter
5,2013-03-01,"154,701",303,$0.17 ,21,10,Spring
6,2013-04-01,"148,667",305,$0.17 ,22,8,Spring
7,2013-05-01,"183,036",306,$0.17 ,23,8,Spring
8,2013-06-01,"244,316",304,$0.17 ,20,10,Summer
9,2013-07-01,"313,489",305,$0.17 ,23,8,Summer
10,2013-08-01,"265,497",303,$0.17 ,22,9,Summer
11,2013-09-01,"215,810",305,$0.17 ,21,9,Fall
12,2014-01-01,"203,345",302,$0.17 ,23,8,Winter
13,2014-10-01,"159,041",310,$0.17 ,23,8,Fall
14,2014-11-01,"156,099",310,$0.17 ,20,10,Fall
15,2014-12-01,"196,543",310,$0.17 ,23,8,Winter
16,2014-02-01,"157,547",299,$0.17 ,20,8,Winter
17,2014-03-01,"146,948",303,$0.17 ,21,10,Spring
18,2014-04-01,"144,608",304,$0.17 ,22,8,Spring
19,2014-05-01,"183,048",305,$0.17 ,22,9,Spring
20,2014-06-01,"242,489",308,$0.17 ,21,9,Summer
21,2014-07-01,"305,472",302,$0.17 ,23,8,Summer
22,2014-08-01,"273,349",308,$0.17 ,21,10,Summer
23,2014-09-01,"225,469",305,$0.17 ,22,8,Fall
24,2015-01-01,"212,381",307,$0.18 ,22,9,Winter
25,2015-10-01,"170,462",311,$0.18 ,22,9,Fall
26,2015-11-01,"186,372",307,$0.18 ,21,9,Fall
27,2015-12-01,"238,596",309,$0.18 ,23,8,Winter
28,2015-02-01,"141,476",306,$0.18 ,20,8,Winter
29,2015-03-01,"145,534",302,$0.18 ,22,9,Spring
30,2015-04-01,"138,789",305,$0.18 ,22,8,Spring
31,2015-05-01,"164,610",306,$0.18 ,21,10,Spring
32,2015-06-01,"260,069",303,$0.18 ,22,8,Summer
33,2015-07-01,"291,597",307,$0.18 ,23,8,Summer
34,2015-08-01,"276,843",310,$0.18 ,21,10,Summer
35,2015-09-01,"220,582",310,$0.18 ,22,8,Fall
36,2016-01-01,"205,131",310,$0.20 ,21,10,Winter
37,2016-10-01,"143,238",310,$0.20 ,21,10,Fall
38,2016-11-01,"151,403",311,$0.20 ,22,8,Fall
39,2016-12-01,"220,467",313,$0.20 ,22,9,Winter
40,2016-02-01,"153,678",310,$0.20 ,21,8,Winter
41,2016-03-01,"134,807",305,$0.20 ,23,8,Spring
42,2016-04-01,"132,354",312,$0.20 ,21,9,Spring
43,2016-05-01,"173,393",315,$0.20 ,22,9,Spring
44,2016-06-01,"247,695",312,$0.20 ,22,8,Summer
45,2016-07-01,"289,419",311,$0.20 ,21,10,Summer
46,2016-08-01,"270,851",308,$0.20 ,23,8,Summer
47,2016-09-01,"199,329",309,$0.20 ,22,8,Fall
48,2017-01-01,"211,568",311,$0.21 ,22,9,Winter
49,2017-10-01,"135,425",299,$0.21 ,22,9,Fall
50,2017-11-01,"141,149",306,$0.21 ,22,8,Fall
51,2017-12-01,"224,908",310,$0.21 ,21,10,Winter
52,2017-02-01,"159,198",310,$0.21 ,20,8,Winter
53,2017-03-01,"145,162",308,$0.21 ,23,8,Spring
54,2017-04-01,"126,413",305,$0.21 ,20,10,Spring
55,2017-05-01,"179,047",306,$0.21 ,23,8,Spring
